Subject,Status,Priority,ActivityDate
Follow-up,In Progress,Low,2025-07-06
Call,In Progress,Low,2025-06-23
Follow-up,In Progress,High,2025-07-14
Meeting,Completed,High,2025-06-26
Meeting,Not Started,Low,2025-06-24
Call,Not Started,Low,2025-06-20
Follow-up,In Progress,Low,2025-07-12
Call,Not Started,High,2025-06-25
Email,Not Started,Low,2025-07-12
Meeting,In Progress,High,2025-06-18
Email,Completed,Normal,2025-07-14
Email,Completed,Normal,2025-06-19
Meeting,Not Started,High,2025-07-15
Email,Not Started,Low,2025-06-19
Email,Not Started,Normal,2025-06-22
Call,Completed,High,2025-06-22
Follow-up,Not Started,Low,2025-06-20
Follow-up,Completed,Low,2025-07-02
Call,Not Started,High,2025-06-20
Follow-up,Not Started,High,2025-07-01 
